epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.726,0.9751,1.97966,1.36939,0.73703,0.19157,0.38064,0.23228,0.9708,3.04303,1.28498,0.000651852,0.000651852,0.000651852
2,500.706,0.99118,1.4513,1.3459,0.17079,0.09091,0.05529,0.02358,1.8621,3.47315,1.91977,0.00130111,0.00130111,0.00130111
3,796.384,1.10054,1.48408,1.42618,0.16939,0.22727,0.09439,0.04429,1.57572,4.29673,1.88474,0.00193278,0.00193278,0.00193278
4,980.608,1.05626,1.30007,1.41183,0.37238,0.36364,0.28758,0.10874,1.62447,2.75886,2.07789,0.0019208,0.0019208,0.0019208
5,1162.75,1.04638,1.18283,1.39264,0.61315,0.52273,0.49718,0.2521,1.10235,2.31173,1.5177,0.0018944,0.0018944,0.0018944
6,1345.69,1.02471,1.11034,1.37039,0.8196,0.65909,0.70311,0.37262,1.41725,1.32633,1.55385,0.001868,0.001868,0.001868
7,1526.64,0.96964,1.00771,1.35804,0.76406,0.75,0.79057,0.41182,1.20708,1.42408,1.49165,0.0018416,0.0018416,0.0018416
8,1715.12,0.95064,0.94784,1.33027,0.47646,0.54545,0.35076,0.15283,1.23458,1.83268,1.54566,0.0018152,0.0018152,0.0018152
9,1942.92,0.89914,0.89552,1.30222,0.50457,0.61364,0.43118,0.15882,1.21557,1.62485,1.73798,0.0017888,0.0017888,0.0017888
10,2123.16,0.93663,0.89742,1.30631,0.9938,0.75,0.83799,0.62979,1.00493,0.8744,1.23692,0.0017624,0.0017624,0.0017624
11,2333.25,0.87692,0.82361,1.27449,0.61562,0.63636,0.58701,0.37622,1.40675,1.11479,1.54001,0.001736,0.001736,0.001736
12,2567.83,0.88302,0.81303,1.25072,0.81943,0.68182,0.76029,0.50977,0.86926,0.97623,1.2376,0.0017096,0.0017096,0.0017096
13,2800.27,0.84875,0.79047,1.24745,0.96514,0.79545,0.88084,0.66893,0.95529,0.70429,1.16706,0.0016832,0.0016832,0.0016832
14,3033.41,0.82996,0.76124,1.23773,0.9719,0.78628,0.867,0.65255,0.86749,0.68997,1.27647,0.0016568,0.0016568,0.0016568
15,3313.21,0.86925,0.77947,1.26198,0.85816,0.75,0.82229,0.60475,0.86671,0.73957,1.24992,0.0016304,0.0016304,0.0016304
16,3654.78,0.84506,0.75443,1.24376,0.89072,0.77273,0.84722,0.56336,0.89921,0.8802,1.20844,0.001604,0.001604,0.001604
17,4062.04,0.82258,0.70007,1.21433,0.92457,0.83584,0.89023,0.67634,0.88039,0.67449,1.19636,0.0015776,0.0015776,0.0015776
18,4358.97,0.85315,0.72442,1.24854,0.91465,0.86364,0.89904,0.701,0.7918,0.59188,1.14602,0.0015512,0.0015512,0.0015512
19,4608.77,0.79815,0.65385,1.21445,0.88928,0.77273,0.85834,0.57549,0.941,0.75846,1.22505,0.0015248,0.0015248,0.0015248
20,4857.82,0.81861,0.70683,1.22419,0.90735,0.75,0.84991,0.62884,0.91764,0.61494,1.22011,0.0014984,0.0014984,0.0014984
21,5165.54,0.7878,0.68452,1.18549,0.90176,0.90909,0.9293,0.68807,0.70026,0.58785,1.0931,0.001472,0.001472,0.001472
